Network Management Card AOS v6.4.6
RPDU 2g APP v6.4.6
NMC Serial Number: ZA1817026881

Model Number: AP8858EU3
RPDU Serial Number: ZA1818021379
Hardware Revision: 02
NMC BM Version: 1.0.8

Date     	Time     	Name	Contact	Location	System IP
02/21/2024	03:06:07	apc064272	Unknown	Unknown	192.168.255.40

		RPDU 1* (SN:ZA1818021379)   	   	   	   	   	   	   	
Date	Time	Pwr.kW	Pwr Max.kW	Energy.kWh	Temp.C	Hum.%RH	Ph I.A	Ph I Max.A
06/18/2021	12:46:40	0.23	0.23	9506.5	   	   	1.5	1.5	
06/18/2021	12:36:40	0.23	0.23	9506.5	   	   	1.5	1.5	
06/18/2021	12:26:40	0.23	0.23	9506.4	   	   	1.5	1.5	
06/18/2021	12:16:40	0.23	0.23	9506.4	   	   	1.5	1.5	
06/18/2021	12:06:40	0.23	0.23	9506.3	   	   	1.5	1.5	
06/18/2021	11:56:40	0.23	0.23	9506.3	   	   	1.5	1.5	
06/18/2021	11:46:40	0.23	0.23	9506.3	   	   	1.5	1.5	
06/18/2021	11:36:40	0.23	0.23	9506.2	   	   	1.5	1.5	
06/18/2021	11:26:40	0.23	0.23	9506.2	   	   	1.5	1.5	
06/18/2021	11:16:40	0.23	0.23	9506.2	   	   	1.5	1.5	
06/18/2021	11:06:40	0.23	0.23	9506.1	   	   	1.5	1.5	
06/18/2021	10:56:40	0.23	0.23	9506.1	   	   	1.5	1.5	
06/18/2021	10:46:40	0.23	0.23	9506.0	   	   	1.5	1.5	
06/18/2021	10:36:40	0.23	0.23	9506.0	   	   	1.5	1.5	
06/18/2021	10:26:40	0.23	0.23	9506.0	   	   	1.5	1.5	
06/18/2021	10:16:40	0.23	0.23	9505.9	   	   	1.5	1.5	
06/18/2021	10:06:40	0.23	0.23	9505.9	   	   	1.5	1.5	
06/18/2021	09:56:40	0.23	0.23	9505.9	   	   	1.5	1.5	
06/18/2021	09:46:40	0.23	0.23	9505.8	   	   	1.5	1.5	
06/18/2021	09:36:40	0.23	0.23	9505.8	   	   	1.5	1.5	
06/18/2021	09:26:40	0.23	0.23	9505.7	   	   	1.5	1.5	
06/18/2021	09:16:40	0.23	0.23	9505.7	   	   	1.5	1.5	
06/18/2021	09:06:40	0.23	0.23	9505.7	   	   	1.5	1.5	
06/18/2021	08:56:40	0.23	0.23	9505.6	   	   	1.5	1.5	
06/18/2021	08:46:40	0.23	0.23	9505.6	   	   	1.5	1.5	
06/18/2021	08:36:40	0.23	0.23	9505.5	   	   	1.5	1.5	
06/18/2021	08:26:39	0.23	0.23	9505.5	   	   	1.5	1.5	
06/18/2021	08:16:39	0.23	0.23	9505.5	   	   	1.5	1.5	
06/18/2021	08:06:39	0.23	0.23	9505.4	   	   	1.5	1.5	
06/18/2021	07:56:39	0.23	0.23	9505.4	   	   	1.5	1.5	
06/18/2021	07:46:39	0.23	0.23	9505.4	   	   	1.5	1.5	
06/18/2021	07:36:39	0.23	0.23	9505.3	   	   	1.5	1.5	
06/18/2021	07:26:39	0.23	0.23	9505.3	   	   	1.5	1.5	
06/18/2021	07:16:39	0.23	0.23	9505.2	   	   	1.5	1.5	
06/18/2021	07:06:39	0.23	0.23	9505.2	   	   	1.5	1.5	
06/18/2021	06:56:39	0.23	0.23	9505.2	   	   	1.5	1.5	
06/18/2021	06:46:39	0.23	0.23	9505.1	   	   	1.5	1.5	
06/18/2021	06:36:39	0.23	0.23	9505.1	   	   	1.5	1.5	
06/18/2021	06:26:39	0.23	0.23	9505.1	   	   	1.5	1.5	
06/18/2021	06:16:39	0.23	0.23	9505.0	   	   	1.5	1.5	
06/18/2021	06:06:39	0.23	0.23	9505.0	   	   	1.5	1.5	
06/18/2021	05:56:39	0.23	0.23	9504.9	   	   	1.5	1.5	
06/18/2021	05:46:39	0.23	0.23	9504.9	   	   	1.5	1.5	
06/18/2021	05:36:39	0.23	0.23	9504.9	   	   	1.5	1.5	
06/18/2021	05:26:39	0.23	0.23	9504.8	   	   	1.5	1.5	
06/18/2021	05:16:39	0.23	0.23	9504.8	   	   	1.5	1.5	
06/18/2021	05:06:39	0.23	0.23	9504.7	   	   	1.5	1.5	
06/18/2021	04:56:39	0.23	0.23	9504.7	   	   	1.5	1.5	
06/18/2021	04:46:39	0.23	0.23	9504.7	   	   	1.5	1.5	
06/18/2021	04:36:39	0.23	0.23	9504.6	   	   	1.5	1.5	
06/18/2021	04:26:39	0.23	0.23	9504.6	   	   	1.5	1.5	
06/18/2021	04:16:38	0.23	0.23	9504.6	   	   	1.5	1.5	
06/18/2021	04:06:38	0.23	0.23	9504.5	   	   	1.5	1.5	
06/18/2021	03:56:38	0.23	0.23	9504.5	   	   	1.5	1.5	
06/18/2021	03:46:38	0.23	0.23	9504.4	   	   	1.5	1.5	
06/18/2021	03:36:38	0.23	0.23	9504.4	   	   	1.5	1.5	
06/18/2021	03:26:38	0.23	0.23	9504.4	   	   	1.5	1.5	
06/18/2021	03:16:38	0.23	0.23	9504.3	   	   	1.5	1.5	
06/18/2021	03:06:38	0.23	0.23	9504.3	   	   	1.5	1.5	
06/18/2021	02:56:38	0.23	0.23	9504.3	   	   	1.5	1.5	
06/18/2021	02:46:38	0.23	0.23	9504.2	   	   	1.5	1.5	
06/18/2021	02:36:38	0.23	0.23	9504.2	   	   	1.5	1.5	
06/18/2021	02:26:38	0.23	0.23	9504.1	   	   	1.5	1.5	
06/18/2021	02:16:38	0.23	0.23	9504.1	   	   	1.5	1.5	
06/18/2021	02:06:38	0.23	0.23	9504.1	   	   	1.5	1.5	
06/18/2021	01:56:38	0.23	0.23	9504.0	   	   	1.5	1.5	
06/18/2021	01:46:38	0.23	0.23	9504.0	   	   	1.5	1.5	
06/18/2021	01:36:38	0.23	0.23	9503.9	   	   	1.5	1.5	
06/18/2021	01:26:38	0.23	0.23	9503.9	   	   	1.5	1.5	
06/18/2021	01:16:38	0.23	0.23	9503.9	   	   	1.5	1.5	
06/18/2021	01:06:38	0.23	0.23	9503.8	   	   	1.5	1.5	
06/18/2021	00:56:38	0.23	0.23	9503.8	   	   	1.5	1.5	
06/18/2021	00:46:38	0.23	0.23	9503.8	   	   	1.5	1.5	
06/18/2021	00:36:38	0.23	0.23	9503.7	   	   	1.5	1.5	
06/18/2021	00:26:38	0.23	0.23	9503.7	   	   	1.5	1.5	
06/18/2021	00:16:38	0.23	0.23	9503.6	   	   	1.5	1.5	
06/18/2021	00:06:38	0.23	0.23	9503.6	   	   	1.5	1.5	
06/17/2021	23:56:38	0.23	0.23	9503.6	   	   	1.5	1.5	
